Brand,Model,Year,Engine_Size,Fuel_Type,Transmission,Mileage,Doors,Owner_Count,Price
Toyota,RAV4,2003,3.9,Electric,Automatic,131868,5,3,17084
Audi,Q5,2023,3.6,Electric,Manual,238306,5,2,20708
Ford,Focus,2011,2.3,Diesel,Automatic,255372,5,5,10661
Audi,A4,2009,2.4,Diesel,Manual,263797,2,,6867
Hyundai,Elantra,2006,2.8,Electric,Manual,110280,3,3,14864
Audi,A3,2009,1.2,Electric,Automatic,111448,5,1,16224
Mercedes,GLA,2013,1.9,Petrol,Manual,205005,2,2,10148
Mercedes,E-Class,2004,4.9,Petrol,Semi-Automatic,175273,3,5,11714
Mercedes,GLA,2022,3.8,Diesel,Manual,191466,3,2,18672
Ford,Focus,2008,1.8,Electric,Semi-Automatic,280713,3,1,8199
Honda,Civic,2015,2.6,Electric,Semi-Automatic,66777,5,1,20762
Kia,Optima,2020,3.2,Electric,Manual,,3,5,23692
BMW,3 Series,2011,2.9,Electric,Semi-Automatic,281020,3,5,11688
Chevrolet,Impala,2017,1.8,Diesel,Semi-Automatic,22175,2,2,18473
Volkswagen,Passat,2003,2,Electric,Manual,287728,3,3,5679
Hyundai,Sonata,2007,3.6,Electric,Automatic,102907,3,3,19672
Honda,Civic,2005,2.4,Petrol,Automatic,60316,2,5,14513
Toyota,Camry,2008,1.3,Petrol,Automatic,188097,2,2,9692
Ford,Fiesta,2004,4,Diesel,Automatic,85348,3,3,15913
Ford,Focus,2015,4.8,Electric,Automatic,100603,4,2,26052
Mercedes,C-Class,2007,2.7,Hybrid,Manual,147310,5,2,12168
Mercedes,GLA,2011,4,Diesel,Manual,140263,4,5,15040
Volkswagen,Passat,2005,3.2,Electric,Semi-Automatic,155550,5,4,13456
Volkswagen,Golf,2000,4,Hybrid,Manual,237232,4,5,7621
Ford,Fiesta,2002,4,Hybrid,Semi-Automatic,272351,3,3,7441
Kia,Optima,2008,4.6,Petrol,Manual,164879,2,4,13654
Hyundai,Tucson,2018,2.8,Petrol,Manual,160349,4,3,15913
Hyundai,Elantra,2007,1.5,Diesel,Manual,30793,5,1,12397
BMW,3 Series,2019,1.9,Electric,Automatic,6745,2,1,26364
Toyota,Camry,2007,4.9,Hybrid,Manual,23217,2,4,20361
Kia,Sportage,2017,2.7,Hybrid,Automatic,242456,2,5,16712
Hyundai,Sonata,2017,1.3,Hybrid,Automatic,152123,5,5,17425
Honda,CR-V,2022,3.4,Diesel,Automatic,248894,5,2,18588
Mercedes,GLA,2007,2.3,Electric,Manual,76458,3,5,15698
BMW,X5,2017,3.9,Hybrid,Semi-Automatic,2020,3,2,24603
Hyundai,Sonata,2018,2,Hybrid,Automatic,121567,4,,20244
Volkswagen,Golf,2023,3.5,Petrol,Semi-Automatic,139477,2,5,20492
Ford,Fiesta,2007,4.5,Electric,Manual,53088,3,2,20366
Volkswagen,Tiguan,2020,1.7,Petrol,Automatic,195565,2,5,16429
Audi,A4,2004,,Hybrid,Semi-Automatic,141850,3,2,14460
Honda,Civic,2020,4.6,Petrol,Manual,191397,3,4,19026
Hyundai,Tucson,2015,1.6,Electric,Manual,259533,2,4,12266
Mercedes,C-Class,2015,4.1,Petrol,Automatic,197249,3,1,17946
Volkswagen,Passat,2007,3.8,Electric,Manual,272609,4,5,11457
Ford,Focus,2013,1.1,Diesel,Manual,294516,4,1,5616
Kia,Sportage,2001,2.9,Diesel,Manual,258813,4,5,3715
Toyota,Corolla,2014,4.1,Petrol,Automatic,17100,5,5,23726
Kia,Optima,2017,4.6,Diesel,Manual,197307,3,1,17243
BMW,X5,2007,4.2,Petrol,Automatic,129851,3,4,16278
Mercedes,E-Class,2011,1.8,Diesel,Semi-Automatic,261247,3,4,6956
Audi,Q5,2016,2.5,Electric,Semi-Automatic,121855,5,5,19184
BMW,3 Series,2011,2.6,Petrol,Manual,107928,4,2,13722
Volkswagen,Passat,2011,4.7,Petrol,Automatic,203960,5,3,16660
BMW,5 Series,2009,3,Electric,Manual,17260,5,5,20044
Audi,A3,2022,3.8,Electric,Semi-Automatic,275109,2,5,19245
Toyota,Corolla,2016,2.8,Hybrid,Semi-Automatic,203314,3,3,15108
Toyota,Corolla,2014,2.8,Hybrid,Automatic,190214,5,2,17141
Ford,Explorer,2013,5,Electric,Automatic,188195,5,3,22288
Audi,A4,2010,2,Hybrid,Manual,228204,3,4,9686
BMW,5 Series,2001,2.3,Diesel,Semi-Automatic,66264,2,1,9404
Toyota,Camry,2022,4.5,Electric,Semi-Automatic,162696,4,2,24406
Chevrolet,Malibu,2005,2.2,Diesel,Manual,191462,2,4,6948
Honda,Accord,2001,4,Diesel,Manual,8958,5,1,14385
Hyundai,Elantra,2012,2.6,Hybrid,Manual,11213,5,,19381
Honda,Accord,2003,3.8,Electric,Semi-Automatic,236022,3,2,10638
Chevrolet,Equinox,2019,3.9,Hybrid,Semi-Automatic,13333,5,1,25258
Mercedes,C-Class,2023,4.6,Electric,Semi-Automatic,274137,2,3,21205
Volkswagen,Passat,2010,,Diesel,Manual,8662,4,3,18070
BMW,3 Series,2018,2.3,Electric,Semi-Automatic,99243,3,3,20676
Ford,Fiesta,2013,3.5,Hybrid,Semi-Automatic,167809,2,3,16000
Honda,CR-V,2018,3,Hybrid,Semi-Automatic,180938,4,3,17292
Mercedes,C-Class,2018,4,Petrol,Manual,66347,3,2,21303
Honda,Civic,2007,1.4,Petrol,Manual,279031,5,3,3533
Chevrolet,Equinox,2013,2.8,Petrol,Manual,63430,4,5,16679
BMW,3 Series,2014,2.1,Petrol,Manual,191744,5,1,11489
Mercedes,E-Class,2023,3.9,Hybrid,Semi-Automatic,58107,3,2,25790
BMW,X5,2002,4.5,Diesel,Manual,86763,2,5,13062
Volkswagen,Golf,2020,3.8,Diesel,Automatic,257521,3,3,17936
Toyota,Corolla,2013,4,Diesel,Manual,213052,4,4,13542
BMW,3 Series,2017,1.9,Petrol,Semi-Automatic,117943,2,4,15297
Volkswagen,Tiguan,2008,4.5,Electric,Semi-Automatic,178837,3,4,16490
Toyota,Corolla,2002,3.9,Diesel,Semi-Automatic,281616,2,3,5192
Chevrolet,Malibu,2013,1.4,Diesel,Automatic,131485,3,5,14472
Audi,A4,2013,3.9,Electric,Manual,21399,5,3,23576
Mercedes,C-Class,2020,3.7,Petrol,Semi-Automatic,148489,3,5,18952
Chevrolet,Equinox,2017,3.1,Electric,Manual,189399,5,4,18396
Volkswagen,Tiguan,2008,3.5,Petrol,Semi-Automatic,179107,2,3,11230
Volkswagen,Passat,2015,4.7,Diesel,Manual,220366,5,1,15561
Kia,Optima,2020,4.7,Petrol,Manual,132200,2,1,21273
Chevrolet,Impala,2009,1.8,Diesel,Automatic,151249,4,1,12381
Chevrolet,Impala,2009,2,Petrol,Manual,184695,5,1,8936
Volkswagen,Golf,2001,4.1,Petrol,Automatic,32602,3,4,16357
Audi,A3,2013,3.2,Electric,Manual,253611,2,,14222
Toyota,RAV4,2020,4.3,Hybrid,Manual,187223,5,3,20396
Mercedes,E-Class,2004,3,Hybrid,Manual,232438,3,3,8139
Toyota,Camry,2019,4.7,Petrol,Manual,114139,5,4,21380
Toyota,RAV4,2004,1.3,Electric,Automatic,79437,4,4,14894
Honda,Accord,2019,2.2,Diesel,Manual,127801,5,5,16525
Toyota,Camry,2002,1.5,Petrol,Automatic,23115,2,1,12665
Kia,Optima,2010,3.9,Petrol,Automatic,26930,3,3,20932
Toyota,RAV4,2021,2.1,Petrol,Manual,289967,4,3,11725
Ford,Focus,2001,3.2,Petrol,Manual,42064,2,3,11826
Hyundai,Sonata,2018,3.5,Electric,Manual,233614,4,2,18072
Ford,Explorer,2023,,Electric,Automatic,67072,4,3,30202
BMW,X5,2017,2.5,Electric,Manual,256380,2,1,15001
Mercedes,C-Class,2010,1.9,Petrol,Semi-Automatic,159546,2,4,10166
Mercedes,E-Class,2014,3.8,Electric,Semi-Automatic,5877,5,5,24468
Hyundai,Tucson,2002,4.9,Hybrid,Automatic,33244,2,2,20011
Chevrolet,Impala,2013,4.8,Petrol,Manual,206381,4,4,15176
Honda,Civic,2016,4,Diesel,Automatic,175833,3,5,19045
Hyundai,Tucson,2005,3.6,Petrol,Semi-Automatic,157073,2,1,10602
BMW,3 Series,2015,2.9,Electric,Automatic,,2,3,21637
Ford,Explorer,2001,2.2,Petrol,Manual,18630,3,5,10897
Audi,A4,2015,2.1,Diesel,Automatic,54522,3,5,19441
Mercedes,GLA,2013,1.4,Electric,Semi-Automatic,231290,3,3,11854
Kia,Optima,2000,3.7,Electric,Manual,166776,2,2,11312
Audi,A3,2002,4,Diesel,Manual,16302,5,2,14653
Audi,Q5,2015,2.9,Hybrid,Semi-Automatic,252824,3,1,13025
Kia,Sportage,2007,1.2,Hybrid,Automatic,269614,3,4,7887
Kia,Sportage,2000,2.8,Electric,Semi-Automatic,264697,2,5,6310
Honda,CR-V,2014,4,Petrol,Manual,287926,5,2,11447
Audi,A3,2001,1.8,Petrol,Automatic,43196,5,2,11963
Toyota,RAV4,2001,,Diesel,Semi-Automatic,279971,3,1,5775
Hyundai,Sonata,2009,1,Petrol,Manual,286745,2,5,3614
Mercedes,C-Class,2011,2.3,Electric,Semi-Automatic,885,3,2,20444
Honda,Civic,2013,3.5,Hybrid,Semi-Automatic,93273,2,4,18610
BMW,X5,2004,3.7,Diesel,Semi-Automatic,110947,3,2,11867
Honda,CR-V,2018,1.2,Petrol,Manual,166808,5,2,12885
Audi,Q5,2022,3.8,Diesel,Automatic,186035,4,3,21488
Ford,Fiesta,2005,1,Hybrid,Semi-Automatic,68819,2,3,10890
Chevrolet,Impala,2018,3.7,Petrol,Semi-Automatic,157181,5,2,17598
Mercedes,C-Class,2007,3.9,Petrol,Semi-Automatic,97350,3,3,14268
Volkswagen,Passat,2016,3.5,Diesel,Manual,271497,5,4,12198
Toyota,RAV4,2013,4.3,Electric,Semi-Automatic,225452,4,5,17132
Kia,Optima,2010,3.8,Petrol,Automatic,51040,5,2,19913
Volkswagen,Golf,2012,4.2,Electric,Semi-Automatic,,2,5,24061
Chevrolet,Equinox,2009,2.6,Hybrid,Semi-Automatic,264411,3,1,8944
BMW,X5,2012,4.3,Petrol,Manual,153919,5,2,15612
Honda,CR-V,2010,1.7,Petrol,Manual,115344,2,5,11363
Kia,Rio,2009,2.9,Diesel,Semi-Automatic,106781,3,2,13237
Hyundai,Sonata,2011,1,Petrol,Manual,279545,2,3,4916
Hyundai,Sonata,2020,1.7,Petrol,Manual,11757,3,1,20237
Audi,Q5,2014,2.4,Petrol,Semi-Automatic,230787,3,1,10647
Hyundai,Elantra,2020,3.7,Hybrid,Automatic,216478,2,1,20948
Mercedes,C-Class,2003,2.6,Diesel,Semi-Automatic,134567,5,2,8589
Mercedes,C-Class,2006,4.5,Electric,Manual,162852,2,3,15998
BMW,3 Series,2023,3.9,Hybrid,Semi-Automatic,112480,2,2,23888
Kia,Optima,2017,1.9,Electric,Automatic,60780,2,1,23422
Honda,CR-V,2012,3.2,Diesel,Automatic,21520,4,4,20946
BMW,5 Series,2017,2.1,Diesel,Automatic,199006,3,3,15433
Chevrolet,Equinox,2006,2,Hybrid,Automatic,11585,5,4,17794
Chevrolet,Equinox,2009,2.8,Electric,Manual,79962,3,2,17500
Volkswagen,Golf,2014,3.9,Electric,Automatic,95537,4,2,24131
Mercedes,GLA,2021,4.3,Diesel,Manual,229873,4,2,17678
Toyota,RAV4,2006,1.3,Hybrid,Manual,195129,4,5,7520
Chevrolet,Impala,2011,4,Hybrid,Automatic,136926,5,1,19532
Ford,Focus,2003,3.2,Petrol,Semi-Automatic,85005,3,1,11373
Audi,A4,2017,2.7,Electric,Automatic,172248,3,2,20921
Volkswagen,Golf,2017,4.3,Petrol,Automatic,179528,2,5,19966
Hyundai,Sonata,2014,2.3,Electric,Manual,1752,4,2,21987
Mercedes,GLA,2008,3.2,Electric,Manual,25557,5,4,19579
BMW,5 Series,2007,3.9,Hybrid,Automatic,211162,5,5,14658
Audi,A3,2014,4,Petrol,Automatic,182364,5,5,17766
Hyundai,Sonata,2010,1.6,Petrol,Automatic,112946,2,5,13897
Ford,Focus,2009,2.1,Petrol,Automatic,122067,4,4,13926
Toyota,RAV4,2008,3.5,Electric,Semi-Automatic,296747,3,1,10614
BMW,5 Series,2018,2.8,Petrol,Semi-Automatic,23722,5,5,20694
Hyundai,Elantra,2000,1.8,Petrol,Manual,161487,3,5,4672
Ford,Focus,2009,4.1,Petrol,Automatic,99562,5,2,18214
Kia,Optima,2018,1.9,Electric,Manual,107386,5,4,19691
Volkswagen,Golf,2021,4,Diesel,Automatic,32991,5,3,26670
Audi,A3,2017,1.7,Diesel,Manual,156940,4,2,13582
Toyota,Camry,2007,2.2,Diesel,Manual,87444,4,4,11639
BMW,5 Series,2009,1.4,Petrol,Manual,232049,3,2,6228
Ford,Focus,2009,1.2,Hybrid,Automatic,114668,2,4,14360
Toyota,Camry,2017,4.8,Electric,Semi-Automatic,297176,4,2,17598
Hyundai,Sonata,2011,4.1,Hybrid,Semi-Automatic,138965,4,4,17010
Volkswagen,Tiguan,2006,4.4,Petrol,Automatic,251894,2,4,11834
Toyota,Corolla,2006,2.8,Diesel,Semi-Automatic,174551,4,5,9114
BMW,5 Series,2011,3,Petrol,Automatic,260151,5,1,11718
Chevrolet,Malibu,2006,2.8,Petrol,Manual,253372,2,4,6356
Mercedes,GLA,2010,1.9,Hybrid,Manual,99563,3,5,14014
Ford,Fiesta,2014,3.9,Electric,Automatic,267949,3,2,18097
BMW,X5,2010,4.6,Diesel,Manual,79663,5,5,17686
Toyota,RAV4,2013,3.5,Electric,Automatic,85640,3,4,23252
Mercedes,E-Class,2001,4.4,Hybrid,Automatic,1937,4,4,19707
Ford,Fiesta,2014,3.2,Petrol,Automatic,253316,3,5,13883
Mercedes,E-Class,2007,3.2,Diesel,Semi-Automatic,203452,2,4,9328
Hyundai,Elantra,2022,4.2,Electric,Manual,181600,3,3,23219
BMW,X5,2002,2.9,Petrol,Manual,296864,4,2,3500
Kia,Sportage,2014,1.4,Hybrid,Semi-Automatic,262641,4,1,9532
Audi,Q5,2023,4.7,Electric,Automatic,222000,3,3,25830
Ford,Focus,2006,4.6,Petrol,Automatic,98002,5,4,17568
Kia,Sportage,2000,3.4,Hybrid,Manual,131933,4,1,10257
BMW,X5,2001,4.6,Diesel,Manual,287045,4,4,5703
Chevrolet,Malibu,2008,2.5,Petrol,Semi-Automatic,215987,5,3,8190
Honda,CR-V,2009,2.8,Diesel,Manual,201403,3,5,9749
BMW,3 Series,2021,3.9,Petrol,Manual,263073,4,3,15816
Audi,A3,2021,4.4,Diesel,Semi-Automatic,91956,2,2,22680
Kia,Sportage,2021,1.3,Hybrid,Manual,197902,5,5,15297
Toyota,RAV4,2006,1,Diesel,Automatic,107474,4,5,10938
BMW,5 Series,2011,1.1,Diesel,Automatic,178039,3,1,11268
BMW,5 Series,2009,4,Electric,Automatic,84645,2,2,22062
Kia,Optima,2020,4.1,Hybrid,Semi-Automatic,118504,2,4,22451
Honda,Accord,2009,2.7,Petrol,Manual,217224,4,5,9021
Toyota,Camry,2002,2.6,Petrol,Automatic,118041,3,4,11268
Audi,A4,2020,4.3,Diesel,Semi-Automatic,,3,5,18655
Mercedes,GLA,2023,1.3,Electric,Semi-Automatic,78961,5,2,22260
Mercedes,GLA,2010,1,Hybrid,Manual,296156,5,1,5558
Toyota,RAV4,2019,2,Petrol,Automatic,232074,3,5,15152
Ford,Explorer,2001,2.3,Electric,Manual,38542,5,2,13876
BMW,X5,2010,2.9,Diesel,Automatic,295058,5,1,9796
Toyota,Camry,2013,2.2,Hybrid,Manual,262285,4,4,10420
Ford,Explorer,2008,3.9,Electric,Semi-Automatic,225838,5,3,13795
Chevrolet,Equinox,2023,3,Hybrid,Automatic,230795,5,4,20797
Chevrolet,Malibu,2008,2.5,Petrol,Manual,94729,5,3,12434
Mercedes,C-Class,2022,3.1,Petrol,Automatic,282199,2,2,16898
Audi,A3,2006,2.6,Diesel,Automatic,282423,5,5,7614
Mercedes,C-Class,2004,4,Diesel,Manual,191859,3,5,9558
Ford,Fiesta,2004,2.2,Hybrid,Automatic,256459,4,5,8522
Kia,Sportage,2021,2.1,Electric,Semi-Automatic,74107,5,4,22780
Volkswagen,Golf,2019,3.9,Petrol,Manual,230974,5,3,15890
BMW,5 Series,2016,,Petrol,Manual,56150,3,1,16585
Mercedes,C-Class,2010,4.7,Diesel,Semi-Automatic,256100,3,2,11686
Volkswagen,Golf,2006,2.7,Hybrid,Automatic,9512,2,1,19091
Audi,A3,2011,4.8,Petrol,Automatic,80241,2,3,21166
Audi,A4,2021,4.7,Diesel,Semi-Automatic,150713,2,4,21149
Audi,Q5,2018,1.7,Electric,Semi-Automatic,207019,2,3,15853
Audi,A3,2023,3.2,Petrol,Semi-Automatic,163039,3,3,19143
Toyota,Corolla,2000,2,Diesel,Manual,145101,3,5,5595
Ford,Focus,2016,1.4,Petrol,Semi-Automatic,,5,4,8274
Hyundai,Elantra,2017,4.2,Diesel,Automatic,269154,3,2,16653
Kia,Sportage,2010,2.3,Petrol,Manual,62065,2,2,14276
Audi,Q5,2023,1.9,Diesel,Manual,52679,5,3,20730
Toyota,Camry,2014,1,Petrol,Manual,177766,3,2,10052
Honda,Civic,2007,1.6,Electric,Manual,158154,3,4,11613
Chevrolet,Impala,2021,1.3,Electric,Automatic,52051,5,1,24776
Toyota,Camry,2023,1.5,Diesel,Manual,117049,2,5,17778
Toyota,Camry,2000,1.8,Electric,Automatic,271405,4,4,6949
Hyundai,Sonata,2010,2.6,Hybrid,Semi-Automatic,260006,3,3,9623
Toyota,RAV4,2012,1.7,Petrol,Manual,234785,3,1,8232
Kia,Optima,2009,1.6,Electric,Automatic,222076,5,4,13052
Volkswagen,Passat,2002,1.8,Petrol,Manual,194835,3,3,4555
Ford,Focus,2013,,Diesel,Automatic,145970,2,2,15015
Ford,Fiesta,2011,1.4,Hybrid,Automatic,30785,4,3,18697
Audi,Q5,2015,3.7,Diesel,Semi-Automatic,57196,3,1,19523
Kia,Sportage,2019,4,Diesel,Semi-Automatic,50680,3,4,22376
Toyota,RAV4,2001,4.7,Diesel,Semi-Automatic,230052,2,3,7872
Honda,Civic,2019,4.2,Petrol,Manual,273193,2,4,14938
Hyundai,Elantra,2003,4.4,Hybrid,Semi-Automatic,169451,2,2,12268
BMW,X5,2020,2.2,Electric,Automatic,286174,4,5,17633
Chevrolet,Malibu,2004,4.9,Diesel,Manual,242712,5,4,9354
Hyundai,Elantra,2014,3.4,Electric,Manual,227371,4,5,16016
Kia,Optima,2002,1.7,Diesel,Manual,79442,4,2,8419
Toyota,Corolla,2005,3.2,Petrol,Automatic,29885,2,2,16978
Volkswagen,Tiguan,2008,4.3,Diesel,Semi-Automatic,261478,4,5,9748
Kia,Optima,2010,1.2,Petrol,Automatic,170847,4,4,11170
BMW,X5,2001,4.1,Electric,Semi-Automatic,87221,5,4,15321
Mercedes,C-Class,2014,2.9,Petrol,Manual,217980,4,4,11970
Volkswagen,Passat,2010,4.1,Electric,Automatic,71288,5,2,23230
BMW,5 Series,2016,4.5,Diesel,Manual,91092,2,1,20262
Honda,Civic,2020,4.4,Petrol,Semi-Automatic,24913,3,3,24502
Kia,Sportage,2000,4.2,Hybrid,Semi-Automatic,155444,3,5,10834
Mercedes,E-Class,2014,2.5,Electric,Semi-Automatic,171683,3,2,16390
Honda,CR-V,2015,4.8,Diesel,Automatic,295428,3,5,15734
Volkswagen,Golf,2010,3.9,Petrol,Automatic,207380,2,5,14616
Mercedes,C-Class,2012,1.5,Electric,Automatic,89226,5,5,19101
BMW,3 Series,2001,4.6,Hybrid,Manual,79217,4,4,14726
Mercedes,E-Class,2010,3.3,Diesel,Automatic,297971,2,3,10395
Ford,Fiesta,2011,3.5,Diesel,Semi-Automatic,178950,2,3,12812
Audi,A3,2017,3.4,Electric,Automatic,148880,3,5,22964
Honda,Accord,2013,1.7,Petrol,Semi-Automatic,23936,4,4,16137
Audi,Q5,2002,2.1,Electric,Manual,68076,4,1,13016
Chevrolet,Malibu,2015,2.9,Diesel,Automatic,144743,2,3,17684
Kia,Rio,2014,4.4,Diesel,Semi-Automatic,90279,3,5,19064
Audi,A3,2018,2.5,Diesel,Semi-Automatic,56429,2,1,19024
Audi,A3,2014,2.9,Diesel,Automatic,1197,2,5,22183
Mercedes,C-Class,2021,1.9,Petrol,Automatic,200177,2,2,17143
Chevrolet,Malibu,2022,3,Diesel,Manual,5679,2,4,23776
BMW,3 Series,2011,3.3,Hybrid,Manual,14586,4,1,19964
Kia,Sportage,2001,3.6,Hybrid,Semi-Automatic,202216,3,3,8671
BMW,5 Series,2002,4.8,Petrol,Manual,249673,5,1,7886
Chevrolet,Impala,2011,1.7,Diesel,Manual,39156,3,1,14553
Volkswagen,Golf,2010,4.5,Electric,Semi-Automatic,68014,3,2,21418
Ford,Focus,2008,2.4,Petrol,Manual,126868,5,3,11134
Mercedes,E-Class,2010,3,Electric,Manual,258632,4,5,12122
Ford,Fiesta,2021,4.3,Hybrid,Semi-Automatic,201170,3,5,20433
Audi,A3,2019,2.9,Hybrid,Manual,13569,2,3,23499
BMW,3 Series,2020,2.1,Diesel,Semi-Automatic,191301,3,1,14653
Kia,Sportage,2002,4.4,Petrol,Semi-Automatic,169424,3,3,9994
BMW,X5,2010,2.9,Petrol,Manual,63026,2,5,15293
Chevrolet,Malibu,2001,4.8,Electric,Semi-Automatic,145630,2,1,14502
Audi,Q5,2003,3.7,Diesel,Automatic,44024,4,4,16308
Audi,Q5,2022,1.2,Electric,Manual,122902,2,3,20022
Audi,A3,2012,4,Electric,Semi-Automatic,92692,3,2,20730
Chevrolet,Equinox,2020,2.9,Petrol,Automatic,22360,2,5,24591
Mercedes,E-Class,2018,3.4,Diesel,Manual,53596,5,1,20699
Honda,Accord,2000,3.6,Electric,Semi-Automatic,45737,5,1,15374
Kia,Sportage,2020,3,Hybrid,Automatic,98160,2,5,23863
Chevrolet,Impala,2018,4,Petrol,Manual,253702,3,4,14744
Ford,Explorer,2006,1.5,Hybrid,Semi-Automatic,94715,5,2,11384
Volkswagen,Passat,2005,1.4,Diesel,Semi-Automatic,1841,2,2,12185
Kia,Optima,2021,,Diesel,Semi-Automatic,109050,2,5,17183
BMW,5 Series,2008,4.4,Hybrid,Semi-Automatic,236894,2,1,12534
Toyota,Corolla,2016,4.4,Electric,Automatic,256691,4,1,20416
Ford,Explorer,2006,1.6,Hybrid,Semi-Automatic,235768,5,2,6622
Mercedes,C-Class,2003,4.4,Hybrid,Manual,88089,3,3,15116
Honda,CR-V,2007,3.8,Electric,Automatic,160230,4,2,18016
Mercedes,E-Class,2000,1.1,Diesel,Manual,233776,2,3,3500
Chevrolet,Equinox,2015,1.3,Hybrid,Semi-Automatic,117006,3,5,14978
Ford,Fiesta,2005,4.7,Diesel,Semi-Automatic,295379,2,2,7686
Chevrolet,Impala,2019,2.5,Hybrid,Manual,299406,3,1,12794
Ford,Explorer,2011,1.4,Petrol,Semi-Automatic,182197,4,3,9023
Volkswagen,Tiguan,2015,1.4,Electric,Semi-Automatic,235687,2,2,12750
Volkswagen,Passat,2005,1.6,Electric,Automatic,293339,5,1,8458
Audi,A3,2008,3.5,Diesel,Manual,79861,4,1,14704
Mercedes,C-Class,2020,1.9,Petrol,Semi-Automatic,288000,4,5,10920
Kia,Rio,2022,1.6,Diesel,Automatic,295898,3,1,13794
Toyota,RAV4,2005,2.5,Hybrid,Semi-Automatic,239287,4,1,7550
Honda,CR-V,2016,4.4,Petrol,Automatic,7588,4,5,25634
Volkswagen,Tiguan,2002,3.4,Diesel,Automatic,152117,3,2,11475
Kia,Sportage,2019,4.4,Petrol,Manual,195296,5,4,18014
Chevrolet,Impala,2006,4.4,Diesel,Automatic,191716,2,3,13939
Honda,CR-V,2000,3.6,Petrol,Manual,230409,2,3,5409
Honda,Civic,2014,1.1,Diesel,Automatic,106397,4,2,15351
Volkswagen,Passat,2007,3.7,Electric,Manual,295514,2,4,10481
Kia,Sportage,2001,3.1,Hybrid,Automatic,232603,4,4,9357
Mercedes,E-Class,2000,2.5,Diesel,Manual,18150,3,5,10915
Volkswagen,Passat,2000,1.8,Petrol,Automatic,222084,2,3,5176
Toyota,Corolla,2016,3.7,Petrol,Manual,59160,5,2,19978
Chevrolet,Equinox,2016,2.3,Petrol,Semi-Automatic,73775,3,4,17017
Mercedes,E-Class,2007,2.4,Electric,Automatic,,3,1,18034
Hyundai,Tucson,2002,2.6,Petrol,Semi-Automatic,11401,5,4,12374
